mu10sigma25rf0,mu10sigma25rf2,mu10sigma25rf3,mu10sigma25rf4,mu10sigma15rf0,mu10sigma15rf2,mu10sigma15rf3,mu10sigma15rf4,mu13sigma25rf0,mu15sigma25rf2,mu15sigma25rf3,mu15sigma25rf4,mu13sigma15rf0,mu13sigma15rf2,mu13sigma15rf3,mu13sigma15rf4
36.11829219,28.89463375,25.28280453,21.67097532,100.3285894,80.26287154,70.2300126,60.19715365,46.95377985,39.73012141,36.11829219,32.50646297,130.4271663,110.3614484,100.3285894,90.29573048
36.7008454,29.36067632,25.69059178,22.02050724,101.9467928,81.55743422,71.36275494,61.16807567,47.71109902,40.37092994,36.7008454,33.03076086,132.5308306,112.1414721,101.9467928,91.7521135
37.28339831,29.82671865,26.09837882,22.37003899,103.5649953,82.85199625,72.49549672,62.13899718,48.4684178,41.01173814,37.28339831,33.55505848,134.6344939,113.9214948,103.5649953,93.20849578
37.86595164,30.29276132,26.50616615,22.71957099,105.183199,84.14655921,73.62823931,63.10991941,49.22573714,41.65254681,37.86595164,34.07935648,136.7381587,115.7015189,105.183199,94.66487911
38.44850479,30.75880383,26.91395335,23.06910287,106.8014022,85.44112175,74.76098153,64.08084131,49.98305622,42.29335527,38.44850479,34.60365431,138.8418228,117.4815424,106.8014022,96.12126197
39.03105789,31.22484631,27.32174052,23.41863473,108.4196053,86.7356842,75.89372368,65.05176315,50.74037526,42.93416368,39.03105789,35.1279521,140.9454868,119.2615658,108.4196053,97.57764473
39.61361082,31.69088866,27.72952757,23.76816649,110.0378078,88.03024627,77.02646548,66.0226847,51.49769407,43.5749719,39.61361082,35.65224974,143.0491502,121.0415886,110.0378078,99.03402705
40.19616432,32.15693145,28.13731502,24.11769859,111.656012,89.32480959,78.15920839,66.99360719,52.25501361,44.21578075,40.19616432,36.17654788,145.1528156,122.8216132,111.656012,100.4904108
40.77871753,32.62297402,28.54510227,24.46723052,113.2742154,90.61937228,79.29195075,67.96452921,53.01233278,44.85658928,40.77871753,36.70084577,147.25648,124.6016369,113.2742154,101.9467938
41.36127077,33.08901662,28.95288954,24.81676246,114.8924188,91.91393504,80.42469316,68.93545128,53.769652,45.49739785,41.36127077,37.22514369,149.3601444,126.3816607,114.8924188,103.4031769
41.94382359,33.55505887,29.36067651,25.16629415,116.5106211,93.20849686,81.55743476,69.90637265,54.52697067,46.13820595,41.94382359,37.74944123,151.4638074,128.1616832,116.5106211,104.859559
42.52637612,34.0211009,29.76846328,25.51582567,118.1288226,94.50305805,82.69017579,70.87729353,55.28428896,46.77901373,42.52637612,38.27373851,153.5674693,129.9417048,118.1288226,106.3159403
43.1089298,34.48714384,30.17625086,25.86535788,119.7470272,95.79762178,83.82291905,71.84821633,56.04160874,47.41982278,43.1089298,38.79803682,155.6711354,131.7217299,119.7470272,107.7723245
